Test,AIB,Butyrate,Blautia,Lactobacillus
0,0,1.67,0,16.900421
0,0.021228,3.216,0,5.088718
0,0,1.443,0,6.180641
0,0,2.94,0,20.678514
1,0.036272,3.506,0,10.755447
1,0,11.547,0,10.146274
1,0.149659,0.738,0,1.007194
1,0.13197,4.312,0,17.353073
0,0.293179,0,0,59.872901
0,0.307415,0,0,20.992328
0,0.393379,0,0,11.474367
0,0.501683,293.306,0,5.458125
1,1.074088,538.532,0,72.534825
1,0.444292,0,0,32.907648
1,0.644426,491.069,0,32.605212
1,1.013601,0,0,41.638755
0,8.507432,24094.279,0.842481491,8.807761
0,10.366369,23597.751,3.702841174,17.978575
0,9.737486,28847.725,2.287747839,13.014743
0,10.612651,24935.013,0.699975863,24.450881
1,12.954842,27538.641,1.237175619,52.414001
1,8.425676,35702.044,2.505753004,48.529788
1,327.16154,46483.743,4.044204091,20.409123
1,11.137564,29572.128,0.983899821,54.27102
1,10.302204,24112.361,0.488400488,31.428571
1,10.33675,24163.615,0.704390702,70.932144
1,7.138605,47457.563,1.95599022,65.362673
1,12.601111,26086.993,4.973003694,61.52316
0,0.156143,214.964,0.108410877,0
0,0.148468,166.606,0.095343544,0
0,0.139805,222.954,0.025540827,0
0,0.125401,213.756,0.042172112,0
1,0.161438,352.46,0,0
1,0.170495,329.367,0.433153575,0
1,0.20268,345.907,0,0
1,0.189778,407.835,0,0